Time,Source IP,Destination IP,Protocol,Length,TTL,Source Port,Destination Port,TCP Flags,Content-Type,Host,User-Agent
2025-02-11 20:52:42.081012011,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.081012011,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.081012011,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.081012011,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.081012011,52.223.193.152,192.168.1.63,TCP,914,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.081047058,192.168.1.63,52.223.193.152,TCP,54,128,54501,443,A,N/A,N/A,N/A
2025-02-11 20:52:42.109529018,52.223.193.152,192.168.1.63,TCP,82,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.109529018,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.109529018,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.109529018,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.109529018,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.109615088,192.168.1.63,52.223.193.152,TCP,54,128,54501,443,A,N/A,N/A,N/A
2025-02-11 20:52:42.109976053,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.109976053,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.109976053,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.109976053,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.110023022,192.168.1.63,52.223.193.152,TCP,54,128,54501,443,A,N/A,N/A,N/A
2025-02-11 20:52:42.111018896,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.111018896,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.111018896,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.111018896,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.111037970,192.168.1.63,52.223.193.152,TCP,54,128,54501,443,A,N/A,N/A,N/A
2025-02-11 20:52:42.112413883,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
